"","date","match_id","match_round","player_name","player_team","player_opposition","betfair_votes","match_outcome","margin"
"8358",2021-08-14,16093,22,"Justin McInerney","Sydney","North Melbourne",0,"Win",14
"8359",2021-08-14,16093,22,"James Rowbottom","Sydney","North Melbourne",0,"Win",14
"8360",2021-08-14,16093,22,"Curtis Taylor","North Melbourne","Sydney",0,"Loss",-14
"8361",2021-08-14,16093,22,"Hayden McLean","Sydney","North Melbourne",0,"Win",14
"8362",2021-08-14,16093,22,"Sam Wicks","Sydney","North Melbourne",0,"Win",14
"8363",2021-08-14,16093,22,"Errol Gulden","Sydney","North Melbourne",0,"Win",14
"8364",2021-08-14,16093,22,"Braeden Campbell","Sydney","North Melbourne",0,"Win",14
"8365",2021-08-14,16093,22,"Will Phillips","North Melbourne","Sydney",0,"Loss",-14
"8366",2021-08-14,16093,22,"Eddie Ford","North Melbourne","Sydney",0,"Loss",-14
"8367",2021-08-14,16093,22,"Charlie Comben","North Melbourne","Sydney",0,"Loss",-14
"8368",2021-08-15,16094,22,"David Mackay","Adelaide","Melbourne",0,"Loss",-41
"8369",2021-08-15,16094,22,"Rory Sloane","Adelaide","Melbourne",0,"Loss",-41
"8370",2021-08-15,16094,22,"Jake Melksham","Melbourne","Adelaide",0,"Win",41
"8371",2021-08-15,16094,22,"Tom Lynch","Adelaide","Melbourne",0,"Loss",-41
"8372",2021-08-15,16094,22,"Michael Hibberd","Melbourne","Adelaide",0,"Win",41
"8373",2021-08-15,16094,22,"Max Gawn","Melbourne","Adelaide",0,"Win",41
"8374",2021-08-15,16094,22,"Paul Seedsman","Adelaide","Melbourne",1,"Loss",-41
"8375",2021-08-15,16094,22,"Rory Laird","Adelaide","Melbourne",0,"Loss",-41
"8376",2021-08-15,16094,22,"Christian Salem","Melbourne","Adelaide",0.5,"Win",41
